Device: samsung SM-G781B; eSense app version: 5.2.0; android version: 11;
DESCRIPTION
RECORDING NAME;HRV-Recording-09122021-114214;;;;;;
eSense Pulse:;0000542;;;;;;
DATE (HH:MM:SS);09.12.21 11:42:14;;;;;;
TIME (HH:MM:SS);00:14:54;;;;;;
MAXIMUM;91.5 HR;;;;;;
MINIMUM;56.4 HR;;;;;;
DIFFERENCE MIN/MAX;35.1 HR;;;;;;
AVERAGE OF SESSION;73.76 HR;;;;;;
;;;;;;;
SDNN;76.48 ms;;;;;;
RMSSD;15.95 ms;;;;;;
NN50;26;;;;;;
PNN50;1.74 %;;;;;;
STRESS INDEX;76.40;;;;;;
AVERAGE RR;832.70 ms;;;;;;
AVERAGE HR;72.10 HR;;;;;;
CORRECTED HR VALUES;2;;;;;;
CORRECTED HR VALUES IN %;0.13 %;;;;;;
RED HEARTS;2;;;;;;
ORANGE HEARTS;3;;;;;;
YELLOW HEARTS;3;;;;;;
GREEN HEARTS;5;;;;;;
;;;;;;;
STATISTICS;;;;;;;
SECOND;HEARTRATE;RR INTERVAL IN MS;HRV AMPLITUDE;REGULARITY;TIMESTAMP;MARKER;
0;64.1;936;0.10;0;11:42:21:000;;
0.968;62.0;968;0.00;0;11:42:21:000;;
2.031;56.4;1063;0.00;0;11:42:22:000;;
3.092;56.6;1061;0.00;0;11:42:23:000;;
4.127;58.0;1035;0.00;0;11:42:24:000;;
5.174;57.3;1047;7.48;0;11:42:25:000;;
6.208;58.0;1034;7.48;0;11:42:26:000;;
7.145;64.0;937;7.48;0;11:42:27:000;;
8.036;67.3;891;7.48;0;11:42:28:000;;
8.928;67.3;892;7.48;0;11:42:29:000;;
9.884;62.8;956;8.31;0;11:42:30:000;;
10.764;68.2;880;9.46;0;11:42:31:000;;
11.651;67.6;887;9.35;0;11:42:32:000;;
12.526;68.6;875;8.59;0;11:42:32:000;;
13.387;69.7;861;8.06;0;11:42:33:000;;
14.246;69.8;859;7.62;0;11:42:34:000;;
15.078;72.1;832;6.86;0;11:42:35:000;;
15.912;71.9;834;5.99;0;11:42:36:000;;
16.762;70.6;850;5.43;0;11:42:37:000;;
17.637;68.6;875;4.91;0;11:42:38:000;;
18.560;65.0;923;4.49;0;11:42:38:000;;
19.534;61.6;974;4.43;0;11:42:39:000;;
20.450;65.5;916;4.55;0;11:42:40:000;;
21.497;57.3;1047;5.17;0;11:42:42:000;;
22.538;57.6;1041;6.02;0;11:42:43:000;;
23.527;60.7;989;6.02;0;11:42:44:000;;
24.423;67.0;896;5.45;0;11:42:44:000;;
25.253;72.3;830;4.71;0;11:42:45:000;;
26.091;71.6;838;4.09;0;11:42:46:000;;
26.895;74.6;804;4.18;0;11:42:46:000;;
27.679;76.5;784;4.76;0;11:42:48:000;;
